"TID","EN","FR","DE","ES","IT","NL","NO","PT","TR","JP","CN"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_3","Become a Champion!","Devenez un champion !","Werde ein Champion!","¡Conviértete en un campeón!","Diventa un campione!","Word kampioen!","Bli en mester!","Torne-se um Campeão!","Bir Şampiyon ol!","チャンピオンリーグに到達する","加入冠军联赛"
"TID_VIEW_ALLIANCE_TAB","View Clan","Voir le clan","Clan betrachten","Ver clan","Visualizza clan","Bekijk clan","Se klan","Ver Clã","Klanı Görüntüle","クランを見る","查看部落"
"TID_VIEW_PROFILE_TAB","Player Profile","Profil de joueur","Spielerprofil","Perfil de jugador","Profilo giocatore","Spelersprofiel","Spillerprofil","Perfil do Jogador","Oyuncu Profili","プレイヤープロフィール","玩家简介"
"TID_ACHIEVEMENT_DESTROY_XBOW_TITLE","X-Bow Exterminator","Exterminateur d'arc-X","X-Bogen-Vernichter","Exterminio de X-Ballesta","Sterminatore di archi-X","X-boog vernietiger","Utrydder av X-bue","Exterminador de X-Bestas","X-Topu İmha Edicisi","巨大クロスボウ・エクスターミネーター","连弩终结者"
"TID_ACHIEVEMENT_DESTROY_XBOW","Destroy <number> X-Bows in Multiplayer battles","Détruisez <number> arcs-X lors de batailles en multijoueur","Zerstöre <number> X-Bögen in Mehrspielerkämpfen","Destruye <number> X-Ballestas en batallas multijugador","Distruggi <number> archi-X nelle battaglie multigiocatore","Vernietig <number> X-bogen in multiplayer-gevechten","Ødelegg <number> X-buer i flerspillerkamper","Destrua <number> X-Bestas em batalhas Multiplayer","Çoklu Oyuncu savaşlarında <number> adet X-Topu yok et","マルチプレイで巨大クロスボウを<number>個破壊する","在联机游戏中摧毁<number>个X连弩"
"TID_ACHIEVEMENT_DESTROY_XBOW_ONE","Destroy one X-Bow in a Multiplayer battle","Détruisez un arc-X lors d'une bataille en multijoueur","Zerstöre einen X-Bogen in einem Mehrspielerkampf","Destruye una X-Ballesta en una batalla multijugador","Distruggi un arco-X in una battaglia multigiocatore","Vernietig één X-boog in een multiplayer-gevecht","Ødelegg én X-bue i en flerspillerkamp","Destrua uma X-Besta numa batalha Multiplayer","Bir Çoklu Oyuncu savaşında bir adet X-Topu yok et","マルチプレイで巨大クロスボウを1個破壊する","在联机游戏中摧毁1个X连弩"
"TID_ACHIEVEMENT_DESTROY_INFERNO_TITLE","Firefighter","Pompier","Feuerlöscher","Bombero","Pompiere","Brandweerman","Brannmann","Bombeiro","İtfaiyeci","ファイアファイター","消防员"
"TID_ACHIEVEMENT_DESTROY_INFERNO","Destroy <number> Inferno Towers in Multiplayer battles","Détruisez <number> tours de l'enfer lors de batailles en multijoueur","Zerstöre <number> Inferno-Türme in Mehrspielerkämpfen","Destruye <number> Torres infierno en batallas multijugador","Distruggi <number> Torri inferno nelle battaglie multigiocatore","Vernietig <number> infernotorens in multiplayer-gevechten","Ødelegg <number> infernotårn i flerspillerkamper","Destrua <number> Torres Inferno em batalhas Multiplayer","Çoklu Oyuncu savaşlarında <number> adet Cehennem Kulesi yok et","マルチプレイでインフェルノタワーを<number>破壊する","在联机游戏中摧毁<number>座地狱之塔"
"TID_TOWN_HALL_UPGRADE_WARNING","Note: Upgrading will reduce your loot from opponents with town hall level <number> and below.","Remarque : l'amélioration réduira le butin récupéré sur les adversaires avec un hôtel de ville de niveau <number> ou inférieur.","Hinweis: Eine Verbesserung reduziert deine Beute von Gegnern mit Rathäusern auf Level <number> und niedriger.","Nota: con las mejoras reducirás el botín conseguido de tus oponentes con un nivel de ayuntamiento <number> o inferior.","Nota: I miglioramenti diminuiranno il bottino ottenibile dai tuoi avversari di livello del Municipio pari o inferiore a <number>.","Let op: upgraden verlaagt de buit van tegenstanders met stadhuislevel <number> en lager.","Merk: Oppgradering vil redusere utbyttet ditt fra motstandere med rådhus på nivå <number> eller lavere.","Observação: A atualização irá reduzir seu roubo dos oponentes com nível de centro da vila <number> ou menor.","Uyarı: Yükseltme, köy binası <number> ve altındaki seviyelerde olan düşmanlardan kazandığınız ganimeti azaltacak.","注意：アップグレードするとタウンホールのレベルが<number>以下の敵を相手にした時の戦利品が少なくなります。","注意：升级将会减少您从大本营等级为 <number> 级和 <number>级以下的对手处获得的战利品"
"TID_SHARE_REPLAY_FAILED","Replay has been shared already by another player","Le ralenti a déjà été partagé par un autre joueur","Die Wiederholung wurde bereits von einem anderen Spieler geteilt.","La repetición ya ha sido compartida por otro jugador","Il replay è già stato condiviso da un altro giocatore","Herhaling is al gedeeld door een andere speler","Replayen har allerede blitt delt av en annen spiller","A repetição já foi compartilhada por outro jogador.","Tekrar, başka bir oyuncu tarafından zaten paylaşılmış.","リプレイはすでに他のプレイヤーによって共有されています。","视频已经被另一个玩家分享"
"TID_ACHIEVEMENT_GOLDSTORAGE_COMPLETED","Highest Gold Storage level: <value>","Plus haut niveau de réserve d'or : <value>","Höchstes Goldlager-Level: <value>","Nivel máximo del almacén de oro: <value>","Livello superiore del Deposito d'oro: <value>","Hoogste level gouddepot: <value>","Høyeste lagringsnivå for gull: <value>","Maior nível de Armazenagem de Ouro: <value>","En Yüksek Altın Deposu seviyesi: <value>","金庫の最大レベル：<value>","最高储金罐等级：<value>"
"TID_ACHIEVEMENT_NPC_STARS_COMPLETED","Stars in Campaign Map: <value>","Étoiles sur la carte de la campagne : <value>","Sterne auf der Kampagnenkarte: <value>","Estrellas en el mapa de Campañas: <value>","Stelle sulla Mappa campagna: <value>","Sterren op campagnekaart: <value>","Stjerner på kampanjekart: <value>","Estrelas no Mapa de Campanha: <value>","Senaryo Haritası üzerindeki Yıldızlar: <value>","キャンペーンマップの星：<value>","担任模式地图上获得的星：<value>"
"TID_ACHIEVEMENT_TOWN_HALL_COMPLETED","Current Town Hall level: <value>","Niveau actuel de l'hôtel de ville : <value>","Derzeitiges Rathaus-Level: <value>","Nivel de ayuntamiento actual: <value>","Livello del Municipio attuale: <value>","Huidig stadhuislevel: <value>","Gjeldende nivå på rådhuset: <value>","Nível atual do Centro da Vila: <value>","Köy Binası mevcut seviyesi: <value>","現在のタウンホールのレベル：<value>","目前大本营的等级：<value>"
"TID_ACHIEVEMENT_CLEAR_OBSTACLES_COMPLETED","Total obstacles removed: <value>","Total d'obstacles franchis : <value>","Hindernisse entfernt (insgesamt): <value>","Total de obstáculos eliminados: <value>","Totale ostacoli rimossi: <value>","Totaal hindernissen verwijderd: <value>","Totalt antall hindringer fjernet: <value>","Total de obstáculos removidos: <value>","Kaldırılan toplam engel: <value>","取り除いた障害物の総数：<value>","移除的障碍物数量：<value>"
"TID_ACHIEVEMENT_LOOT_GOLD_COMPLETED","Total Gold looted: <value>","Total d'or ramassé : <value>","Gold erbeutet (insgesamt): <value>","Total de oro conseguido: <value>","Totale Oro acquisito: <value>","Totaal goud geplunderd: <value>","Samlet utbytte i gull: <value>","Total de Ouro roubado: <value>","Yağmalanan toplam Altın: <value>","戦闘で獲得したゴールド：<value>","总共获得的金币战利品：<value>"
"TID_ACHIEVEMENT_LOOT_ELIXIR_COMPLETED","Total Elixir looted: <value>","Total d'élixir ramassé : <value>","Elixir erbeuetet (insgesamt): <value>","Total de elixir conseguido: <value>","Totale Elisir acquisiti: <value>","Totaal elixir geplunderd: <value>","Samlet utbytte i eliksirer: <value>","Total de Elixir roubado: <value>","Yağmalanan toplam İksir: <value>","戦闘で獲得したエリクサー：<value>","总共获得的圣水战利品：<value>"
"TID_ACHIEVEMENT_VICTORY_POINTS_COMPLETED","Trophy record: <value>","Record de trophées : <value>","Trophäen: <value>","Récord de trofeos: <value>","Record trofei: <value>","Record trofeeën: <value>","Trofé-rekord: <value>","Recorde de Troféus: <value>","Ödül sayısı: <value>","獲得したトロフィー：<value>","最高奖杯记录：<value>"
"TID_ACHIEVEMENT_CASTLE_COMPLETED","Current Clan Castle level: <value>","Niveau actuel du château du clan : <value>","Derzeitiges Clanburg-Level: <value>","Nivel actual del castillo del clan: <value>","Livello Castello del clan attuale: <value>","Huidige level clankasteel: <value>","Gjeldende nivå på klanslott: <value>","Nível atual do Castelo do Clã: <value>","Klan Kalesi mevcut seviyesi: <value>","現在のクランの城のレベル：<value>","目前的部落城堡等级：<value>"
"TID_ACHIEVEMENT_DESTROY_WALLS_COMPLETED","Total walls destroyed: <value>","Total de murs détruits : <value>","Mauern zerstört (insgesamt): <value>","Total de muros destruidos: <value>","Totale mura distrutte: <value>","Totaal muren vernietigd: <value>","Totalt antall murer ødelagt: <value>","Total de muros destruídos: <value>","Yok edilen toplam duvar: <value>","破壊した壁の総数：<value>","总共摧毁的城墙数量：<value>"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL_COMPLETED","Total Town Halls destroyed: <value>","Total d'hôtels de ville détruits : <value>","Rathäuser zerstört (insgesamt): <value>","Total de ayuntamientos destruidos: <value>","Totale Municipi distrutti: <value>","Totaal stadhuizen vernietigd: <value>","Totalt antall rådhus ødelagt: <value>","Total de Centros das Vilas destruídos: <value>","Yok edilen toplam Köy Binası: <value>","破壊したタウンホールの総数：<value>","总共摧毁的大本营数量：<value>"
"TID_ACHIEVEMENT_DESTROY_BUILDER_COMPLETED","Total Builder's Huts destroyed: <value>","Total de cabanes d'ouvrier détruites : <value>","Bauhütten zerstört (insgesamt): <value>","Total de chozas de constructor destruidas: <value>","Totale Capanne del muratore distrutte: <value>","Totaal bouwketen vernietigd: <value>","Totalt antall byggerhytter ødelagt: <value>","Total de Cabanas de Construtor destruídas: <value>","Yok edilen toplam İnşaatçı Kulübesi: <value>","破壊した大工の小屋の総数：<value>","总共摧毁的建筑工人小屋数量：<value>"
"TID_ACHIEVEMENT_PVP_ATTACKS_COMPLETED","Total multiplayer battles won: <value>","Total de batailles remportées en multjoueur : <value>","Mehrspielerkämpfe gewonnen (insgesamt): <value>","Total de batallas multijugador ganadas: <value>","Totale battaglie multigiocatore vinte: <value>","Totaal multiplayer-gevechten gewonnen: <value>","Totalt antall kamper i flerspiller vunnet: <value>","Total de batalhas multiplayer ganhas: <value>","Kazanılan toplam çoklu oyuncu savaşı: <value>","マルチプレイでの勝利数：<value>","总共赢得的联机游戏战斗次数：<value>"
"TID_ACHIEVEMENT_PVP_DEFENSES_COMPLETED","Total defenses won: <value>","Total de défenses remportées : <value>","Verteidigungen gewonnen (insgesamt): <value>","Total de defensas ganadas: <value>","Totale difese violate: <value>","Totaal verdedigingen gewonnen: <value>","Totalt antall forsvar vunnet: <value>","Total de defesas ganhas: <value>","Kazanılan toplam savunma: <value>","防衛戦勝利数：<value>","总共成功抵御的防御次数：<value>"
"TID_ACHIEVEMENT_DONATE_UNITS_COMPLETED","Total capacity donated: <value>","Total des dons effectués : <value>","Truppen gespendet (insgesamt): <value>","Total de capacidad donada: <value>","Totale capacità donata: <value>","Totale capaciteit gedoneerd: <value>","Total kapasitet donert: <value>","Total de capacidade doada: <value>","Bağışlanan toplam kapasite: <value>","送った援軍の総数：<value>","总共派出的援兵：<value>"
"TID_ACHIEVEMENT_DESTROY_MORTARS_COMPLETED","Total Mortars destroyed: <value>","Total des mortiers détruits : <value>","Minenwerfer zerstört (insgesamt): <value>","Total de morteros destruidos: <value>","Totale mortai distrutti: <value>","Totaal mortieren vernietigd: <value>","Totalt antall mortere ødelagt: <value>","Total de Morteiros destruídos: <value>","Yok edilen toplam Havan: <value>","破壊した迫撃砲の総数：<value>","总共摧毁的迫击炮数量：<value>"
"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_COMPLETED","Total Dark Elixir looted: <value>","Total des élixirs noirs ramassés : <value>","Dunkles Elixir erbeutet (insgesamt): <value>","Total de elixir oscuro conseguido: <value>","Totale Elisir neri acquisiti: <value>","Totaal duister elixir geplunderd: <value>","Samlet utbytte i mørk eliksir: <value>","Total de Elixir Negro roubado: <value>","Yağmalanan toplam Kara İksir: <value>","戦闘で獲得したダークエリクサーの数：<value>","总共获得的暗黑重油战利品：<value>"
"TID_ACHIEVEMENT_DESTROY_XBOW_COMPLETED","Total X-Bows destroyed: <value>","Total d'arcs-X détruits : <value>","X-Bögen zerstört (insgesamt): <value>","Total de X-Ballestas destruidas: <value>","Totale Archi-X distrutti: <value>","Totaal X-bogen vernietigd: <value>","Totalt antall X-buer ødelagt: <value>","Total de X-Bestas destruídas: <value>","Yok edilen toplam X-Topu: <value>","破壊した巨大クロスボウの総数：<value>","总共摧毁的X-连弩数量：<value>"
"TID_ACHIEVEMENT_DESTROY_INFERNO_COMPLETED","Total Inferno Towers destroyed: <value>","Total des tours de l'enfer détruites : <value>","Inferno-Türme zerstört (insgesamt): <value>","Total de torres infierno destruidas: <value>","Totale Torri inferno distrutte: <value>","Totaal infernotorens vernietigd: <value>","Totalt antall infernotårn ødelagt: <value>","Total de Torres Inferno destruídas: <value>","Yok edilen toplam Cehennem Kulesi: <value>","破壊したインフェルノタワーの総数：<value>","总共摧毁的地域之塔数量：<value>"
"TID_LINK_DEVICE_BUTTON","Link a device","Associer un appareil","Gerät verknüpfen","Enlazar disp.","Collega un dispositivo","Koppel een apparaat","Tilknytt en enhet","Conectar um dispositivo","Bir cihazı bağla","デバイスを関連づける","关联一台设施"
"TID_OPEN_GAMECENTER_BUTTON","Open Game Center","Ouvrir le Game Center","Game Center öffnen","Abrir Game Center","Apri Game Center","Open Game Center","Åpne Game Center","Abrir Game Center","Game Center'ı aç","Game Center を開く","打开苹果游戏中心"
"TID_LINK_TARGET_IOS_BUTTON","I want to link to\nan iPhone, iPad or iPod","Associer à un\niPhone, iPad ou iPod","Verknüpfung mit\niPhone, iPad oder iPod","Quiero enlazar un\niPhone, iPad o iPod","Voglio collegare\nun iPhone, iPad o iPod","Ik wil koppelen met een\niPhone, iPad of iPod","Jeg vil knytte til\nen iPhone, iPad eller iPod","Quero conectar um\niPhone, iPad ou iPod","Bir\nan iPhone, iPad veya iPod'a bağlanmak istiyorum.","iPhone、iPad、または iPod に\n関連づける","我想关联\niPhone、iPad 或 iPod"
"TID_LINK_TARGET_IOS_BUTTON_ANDROID","I want to link to\nan Android device","Associer à un\nappareil Android","Verknüpfung mit\neinem Android-Gerät","Quiero enlazar un\ndispositivo Android","Voglio collegare\nun dispositivo Android","Ik wil met een\nAndroid-apparaat koppelen","Jeg vil knytte til\nen Android-enhet","Quero conectar um\ndispositivo Android","Bir Android cihazına\nbağlanmak istiyorum","Androidデバイスと\n関連づける","我想关联\n安卓设备"
"TID_LINK_TARGET_OTHER_BUTTON","I want to link to\nanother device","Associer à\nun autre appareil","Verknüpfung mit\nanderem Gerät","Quiero enlazar\notro dispositivo","Voglio collegare\nun altro dispositivo","Ik wil met een\nander apparaat koppelen","Jeg vil knytte til\nen annen enhet","Quero conectar um\noutro dispositivo","Bir başka cihaza\nbağlanmak istiyorum","他のデバイスに\n関連づける","我想关联\n另一台设备"
"TID_LINK_TARGET_DEVICE_TYPE","Target Device","Appareil cible","Zielgerät","Disp. de destino","Dispositivo obiettivo","Doelapparaat","Målenhet","Dispositivo Alvo","Hedef Cihaz","ターゲット デバイス","目标设备"
"TID_LINK_TARGET_DEVICE_TEXT","Choose the type of the device you want to link to:","Choisissez le type d'appareil à utiliser pour l'association :","Wähle die Geräteart, die du verknüpfen willst:","Escoge el tipo de dispositivo que quieres enlazar:","Scegli il tipo di dispositivo che desideri collegare:","Kies het type apparaat dat je wilt koppelen:","Velg typen enhet du vil knyttes til:","Escolha o tipo de dispositivo que você quer conectar:","Bağlamak istediğin cihazın türünü seç:","関連づけるデバイスの種類を選択してください:","选择您要关联之设备的类型："
"TID_ANDROID_BILLING_PRODUCT_NOT_AVAILABLE_PRICE","Tap for info!","Touchez pour en savoir plus !","Für Infos antippen!","Más información","Tocca per avere più info!","Tik voor meer info!","Trykk for info!","Toque para informações!","Bilgi için dokun!","タップして情報を表示","点击以获取资讯！"
"TID_ALLIANCE_INVITATION_FAILED_NO_RIGHTS","Only Elders and Leader can invite new members","Seuls les aînés et chefs peuvent inviter de nouveaux membres !","Nur Clanälteste und -führer können neue Mitglieder einladen!","¡Solo veteranos y líderes pueden invitar a miembros!","Solo gli Anziani e il Capoclan possono invitare nuovi membri.","Alleen oudsten en leiders kunnen nieuwe leden uitnodigen","Bare seniorer og ledere can invitere nye medlemmer!","Somente anciãos e líderes podem convidar novos membros!","Sadece Büyükler ve Lider yeni üye davet edebilir!","新メンバーを招待できるのは長老とリーダーだけです！","只长老、首领能邀请新成员。"
"TID_GOOGLE_SERVICE_CONNECT_TITLE","Google+ Sign-In recommended","Connexion Google+ recommandée","Google+ Anmeldung empfohlen","Inicia sesión en Google+","Accesso a Google+ consigliato","Google+ Sign-In aanbevolen","Innlogging på Google+ anbefales","Recomendado o Sign-in do Google+","Google+ Girişi tavsiye edilir","Google+ ログインを推奨","建议用 Google+ 登录"
"TID_GOOGLE_SERVICE_CONNECT_TEXT","Chief! To safeguard your village and gems, please use Google+ Sign-in. With it, you can also play on multiple Android devices.\n\nNote: Your progress will be permanently attached to the Google+ account.","Chef ! Pour protéger le village et les gemmes, utilisez la connexion Google+. Ainsi, vous pourrez également jouer sur différents appareils Android.\n\nRemarque : votre progression sera définitivement liée au compte Google+.","Häuptling! Melde dich bitte mit Google+ an, um dein Dorf und deine Juwelen zu schützen. Damit kannst du auch auf mehreren Android-Geräten spielen.\n\nHinweis: Dein Fortschritt wird dauerhaft an das Google+ Konto gebunden.","¡Jefe! Para proteger tu aldea y tus gemas, inicia sesión en Google+. Si lo haces, además podrás jugar en varios dispositivos Android.\n\nNota: tu progreso estará enlazado permanentemente a la cuenta Google+.","Capo! Per proteggere il nostro villaggio e le nostre gemme, effettua l'accesso a Google+. In questo modo potrai giocare su più dispositivi Android.\n\nAttenzione: i tuoi progressi saranno collegati all'account Google+ in modo permanente.","Chief! Om je dorp en edelstenen te beschermen moet je Google+ Sign-in gebruiken. Hiermee kun je op verschillende Android-apparaten spelen.\n\nLet op: je voortgang wordt permanent gekoppeld aan het Google+ account.","Høvding! For å beskytte landsbyen og smykkene dine, logg deg inn på Google+. Da kan du også spille på flere Android-enheter.\n\nMerk: Fremgangen din blir permanent knyttet til Google+-kontoen.","Chefe! Para proteger sua vila e as pedras, use o Sing-in do Google+. Com ele, você também pode jogar em vários dispositivos Android.\n\nObservação: Seu progresso será permanentemente ligado à conta do Google+.","Şef! Köyünü ve taşlarını korumak istiyorsan lütfen Google+ Girişini kullan. Onunla aynı zamanda birden fazla Android cihazında oynayabilirsin.\n\nNot: İlerlemen kalıcı olarak Google+ hesabına bağlanacaktır.","チーフ！ 村とエメラルドを守るには、Google+ ログインを使いましょう。そうすれば複数のAndroidデバイス上でプレイすることも可能です。\n\nゲームの進行状況はGoogle+アカウントに恒久的に関連づけられます。","首领！要保护您的村庄和宝石，请使用 Google+ 登录。借助此功能，您还可以在多台安卓设备上玩本游戏。\n\n请注意：您的进度将永久地关联到该 Google+ 帐户。"
"TID_GOOGLE_SERVICE_CONNECT_BUTTON","Connect","Se connecter","Verbinden","Conectar","Connetti","Verbinding maken","Koble til","Conectar","Bağlan","接続","连接"
"TID_ACCOUNT","Devices","Appareils","Geräte","Dispositivos","Dispositivi","Apparaten","Enheter","Dispositivos","Cihazlar","デバイス","设备"
"TID_LINK_SAME_PLATFORM_TITLE","Sync with Game Center","Synchr. avec le Game Center","Mit Game Center synchronisieren","Sinc. con Game Center","Sincronizza con Game Center","Synchroniseer met Game Center","Synkroniser med Game Center","Sincronizar com Game Center","Game Center ile senkronize et","Game Center と同期","与苹果游戏中心同步"
"TID_LINK_SAME_PLATFORM_TITLE_ANDROID","Sync with a Google account","Synchroniser avec un compte Google","Mit einem Google-Konto synchronisieren","Sinc. con cuenta de Google","Sincronizza con un account Google","Synchroniseer met een Google-account","Synkorniser med Google-konto","Sincronizar com uma conta do Google","Google hesabı ile senkronize et","Googleアカウントと同期","与谷歌帐户同步"
"TID_LINK_SAME_PLATFORM","To play on multiple iOS devices, please make sure you're logged into Game Center on this device.\n\nThen, log into Game Center with the other device. Your progress will be automatically synchronized.","Pour jouer sur différents appareils iOS, vous devez être connecté au Game Center sur cet appareil.\n\nEnsuite, connectez-vous au Game Center avec l'autre appareil. Votre progression sera synchronisée automatiquement.","Vergewissere dich bitte, dass du auf diesem Gerät bei Game Center angemeldet bist, um auf mehreren iOS-Geräten spielen zu können.\n\nMelde dich dann mit dem anderen Gerät bei Game Center an. Dein Fortschritt wird automatisch synchronisiert.","Para jugar en varios dispositivos iOS, inicia sesión en Game Center en este dispositivo.\n\nLuego, inicia sesión en Game Center con el otro dispositivo. Tus progresos se sincronizarán automáticamente.","Per giocare su più dispositivi iOS, assicurati di aver effettuato l'accesso al Game Center su questo dispositivo.\n\nQuindi, accedi al Game Center con l'altro dispositivo che desideri usare. I tuoi progressi saranno automaticamente sincronizzati.","Om op meerdere iOS-apparaten te spelen, moet je op dit apparaat zijn aangemeld op Game Center.\n\nMeld je vervolgens via het andere apparaat aan op Game Center. Je voortgang wordt automatisch gesynchroniseerd.","For å spille på flere iOS-enheter, sørg for at du er logget på Game Center på denne enheten.\n\nDeretter logger du på Game Center med den andre enheten. Fremgangen din vil automatisk synkroniseres.","Para jogar em vários dispositivos iOS, certifique-se de estar conectado ao Game Center neste dispositivo.\n\nDepois, faça o login com o outro dispositivo no Game Center. Seu progresso será automaticamente sincronizado.","Birden çok iOS cihazında oynamak için lütfen Game Center'a bu cihazda giriş yaptığından emin ol.\n\nDaha sonra Game Center'a diğer cihaz ile giriş yap. İlerlemen otomatik olarak senkronize edilecektir.","複数のiOSデバイスでプレイするには、このデバイスからGame Centerにログインしていることを確認します。\n\n次に、他のデバイスからGame Centerにログインします。ゲームの進行状況は自動的に同期されます。","要在多台 iOS 设备上玩本游戏，请确保您已在本台设备上登录苹果游戏中心。\n\n然后，请用另一设备登录苹果游戏中心。将会自动同步您的进度。"
"TID_LINK_SAME_PLATFORM_ANDROID","To play on multiple Android devices, please make sure you have signed in to your Google account in the game's settings.\n\nThen, sign in with your Google account also on the other device. Your progress will be automatically synchronized.","Pour jouer sur différents appareils Android, vous devez être connecté à votre compte Google dans les paramètres du jeu.\n\nEnsuite, connectez-vous à votre compte Google sur l'autre appareil également. Votre progression sera synchronisée automatiquement.","Vergewissere dich bitte, dass du in den Spieleinstellungen mit deinem Google-Konto angemeldet bist, um auf mehreren Android-Geräten spielen zu können.\n\nMelde dich dann auch auf dem anderen Gerät bei deinem Google-Konto an. Dein Fortschritt wird automatisch synchronisiert.","Para jugar en varios dispositivos Android, inicia sesión en tu cuenta Google en este dispositivo.\n\nLuego, inicia sesión en tu cuenta de Google con el otro dispositivo. Tus progresos se sincronizarán automáticamente.","Per giocare su più dispositivi Android, assicurati di aver effettuato l'accesso a Google+ nelle impostazioni di gioco.\n\nQuindi, accedi con il tuo account Google con l'altro dispositivo che desideri usare. I tuoi progressi saranno automaticamente sincronizzati.","Om op meerdere Android-apparaten te spelen, moet je op je Google-account zijn aangemeld via de instellingen van het spel.\n\nMeld je vervolgens aan op je Google-account op het andere apparaat. Je voortgang wordt automatisch gesynchroniseerd.","For å spille på flere Android-enheter, sørg for at du er logget på Google-kontoen din under spillets innstillinger.\n\nLogg deretter på Google-kontoen din på den andre enheten. Fremgangen din vil automatisk synkroniseres.","Para jogar em vários dispositivos Android, certifique-se de estar conectado à sua conta do Google nas configurações do jogo.\n\nDepois, entre com a sua conta do Google também no outro dispositivo. Seu progresso será automaticamente sincronizado.","Birden çok Android cihazında oynamak için, oyun ayarlarında Google hesabına giriş yaptığından emin ol.\n\nDaha sonra diğer cihazda da Google hesabına giriş yap. İlerlemen otomatik olarak senkronize edilecektir.","複数のAndroidデバイスでプレイするには、ゲームの設定でGoogle アカウントにログインしていることを確認します。\n\n次に、他のデバイスからもGoogle アカウントにログインします。ゲームの進行状況は自動的に同期されます。","要在多台安卓设备上玩本游戏，请确保您已在游戏设置中登录自己的谷歌帐户。\n\n然后，在另一台设备也用您的谷歌帐户登录。将会自动同步您的进度。"
"TID_DEVICE_LINK_ERROR_NOT_ATTACHED_TITLE","Not attached to Game Center","Non lié au Game Center","Nicht verbunden mit Game Center","No hay enlace con Game Center","Non collegato al Game Center","Niet gekoppeld met Game Center","Ikke knyttet til Game Center","Não conectado ao Game Center","Game Center'a bağlı değil","Game Center にアタッチされていません","未与苹果游戏中心关联"
"TID_DEVICE_LINK_ERROR_NOT_ATTACHED","Your village hasn't yet been attached to a Game Center account. Please make sure you're logged into a Game Center account with no exisiting village attached and restart the game.\n\nYou will be asked if you want to attach the current village to the Game Center account. Answer 'Yes'.\n\nWARNING: Attaching a village is permanent and can not be changed later.","Votre village n'a pas encore été lié à un compte Game Center. Assurez-vous d'être connecté à un compte Game Center qui n'est lié à aucun village existant, puis relancez le jeu.\n\nIl vous sera demandé si vous voulez lier le village actuel au compte Game Center. Répondez Oui.\n\nATTENTION : lier un village est définitif et irréversible.","Dein Dorf wurde noch nicht an ein ,,Game Center\q-Konto gebunden. Bitte vergewissere dich, dass du mit einem ,,Game Center\q-Konto angemeldet bist, das noch kein gebundenes Dorf hat, und starte das Spiel neu.\n\nDu wirst gefragt, ob du das aktuelle Dorf an das ,,Game Center\q-Konto binden willst. Antworte ,,Ja\q.\n\nACHTUNG: Das Binden eines Dorfes ist dauerhaft und kann später nicht geändert werden.","Tu aldea aún no se ha enlazado a una cuenta de Game Center. Asegúrate de haber iniciado sesión con una cuenta de Game Center que no tenga ninguna aldea enlazada, y reinicia el juego.\n\nEl juego te preguntará si quieres enlazar la aldea actual a la cuenta de Game Center. Selecciona \qSí\q.\n\nAVISO: el enlace de una aldea es permanente y no se puede cambiar.","Il tuo villaggio non è ancora stato collegato ad un account del Game Center. Effettua l'accesso con un account del Game Center non collegato ad un villaggio esistente e riavvia il gioco.\n\nTi verrà richiesto se desideri collegare il villaggio corrente all'account del Game Center. Seleziona 'Sì'.\n\nATTENZIONE: il collegamento del villaggio è permanente e non può venire modificato in seguito.","Je dorp is nog niet met een Game Center-account gekoppeld. Zorg dat je bent aangemeld op een Game Center-account zonder een bestaand gekoppeld dorp en start het spel opnieuw op.\n\nJe wordt gevraagd of je het huidige dorp aan het Game Center-account wilt koppelen. Kies 'Ja'.\n\nWAARSCHUWING: het koppelen van een dorp is permanent en kan later niet meer worden gewijzigd.","Landsbyen din har ikke blitt knyttet til en Game Center-konto. Sørg for at du er logget på en Game Center-konto uten noen eksisterende landsby, og start spillet på nytt.\n\nDu vil spørres om du vil knytte gjeldende landsby til Game Center-kontoen. Svar \qJa\q.\n\nADVARSEL: Tilknytting av en landsby er permanent, og kan ikke endres senere.","Sua vila ainda não foi ligada à conta do Game Center. Certifique-se de estar conectado à conta do Game Center sem qualquer vila existente conectada e reinicie o jogo.\n\nVocê será perguntado se deseja ligar a vila atual à conta do Game Center. Responda ‘Sim´.\n\nATENÇÃO: A ligação de uma vila é permanente e não pode ser alterada posteriormente.","Köyün henüz Game Center hesabına bağlanmadı. Lütfen mevcut bir köyün bağlı olmadığı bir Game Center hesabına giriş yaptığından emin ol ve oyunu tekrar başlat.\n\nMEvcut köyü Game Center hesabına bağlamak isteyip istemediğin sorulacak. 'Evet' cevabını ver.\n\nUYARI: Bir köyü bağlamak kalıcıdır ve daha sonra değiştirilemez.","あなたの村はまだ Game Center アカウントに関連づけられていません。既存の村が関連づけられていない状態で Game Center アカウントにログインしていることを確認して、ゲームをもう一度起動してください。\n\n今プレイ中の村を Game Center アカウントに関連づけるか尋ねられたら、「はい」と答えます。\n\n警告: 村の関連づけは恒久的で、後から変更することはできません。","您的村庄尚未与苹果游戏中心帐户关联。请确保您登录未关联任何已有村庄的苹果游戏中心帐户，然后重新启动游戏。\n\n系统将询问您是否要将当前村庄关联到该苹果游戏中心帐户。回答\q是\q。\n\n警告：关联村庄是永久性操作，并且今后无法更改。"
